FileName,ImprintDate,Author,Title,PubLocation,PubControlled,CirculatingLibrary,NarrForm,Unique,AuthorType,AuthorClaimType,ENDID,Pages
LauraHermit_pr3671_r4_f75_1700z.txt,1760,"Rowe, Eilzabeth Singer","The history of Laura, and the handsome hermit: in six letters [by Elizabeth Singer Rowe]",[London :,"s.n.,",FALSE,Epistolary,Unique,Woman named,Proper name,553887,32
Living_pr3291_a1_l465_1703.txt,1703,Anon,"Letters from the living to the living, relating to the present transactions both publick and private. With their several answers. ...Written by several hands.",London,"s.n.,",FALSE,Epistolary,No,Unknown,Generic/Descriptive,4106228,265
Maiden_pr3291_a6_l33_1776.txt,1776,Lady,The maiden aunt. Written by a lady. In three volumes. Vol. I.,London,Bew,FALSE,Epistolary,No,Woman anon,None,341538,755
Manon_pq2021_m3_e5_1786.txt,1786,"Prevost, Abbe","Manon L'Escaut, or The fatal attachment :",London :,Cadell,FALSE,Third-person,No,Man named,None,1761820,466
MaryQ_da787_a365_a5_1726.txt,1726,Anon,The genuine letters of Mary Queen of Scotts,Westminster,J. Roberts,FALSE,Epistolary,No,Unknown,Proper name,316107,59
Masq_pr3991_a7_e44_1780.txt,1780,Anon,"Masquerades; or, what you will. By the author of Eliza Warwick, &c. In two volumes. Vol. I.",London,Bew,FALSE,Epistolary,No,Unknown,None,341549,1112
Mistakes_pr3736_t734_m5_1770.txt,1770,Tressyac de Vergy,"The mistakes of the heart: or, memoirs of Lady Carolina Pelham and Lady Victoria Nevil. In a series of letters. Published by M. Treyssac de Vergy, ... In three volumes. ...",Dublin,"Potts, Walker",FALSE,Epistolary,Unique ed,Man named,Proper name,341563,287
Musgrove_pr3291_a1_h576_1770.txt,1770,Anon,The history of Eliza Musgrove. In two volumes. ...,Dublin :,Chamberlaine et al,FALSE,Epistolary,Unique ed,Unknown,None,341406,277
Mutability_pr3991_a6_l325_1777.txt,1777,Lady,"The mutability of human life; or memoirs of Adelaide, Marchioness of Melville. By a lady. In two volumes. Vol. I.",Dublin :,Chamberlaine et al,FALSE,Epistolary,No,Woman anon,Generic/Descriptive,341572,532
Nazarenes_pr3291_a1_s43_1719.txt,1719,Anon,The secret history of the Prince of the Nazarenes and two turks :,London,J. Moore,FALSE,Part Epistolary,No,Unknown,None,1802363,77
NewClar_pq1995_l75_n613_1769.txt,1769,"Leprince de Beaumont,ξMadameξ(Jeanne-Marie),ξ1711-1780.",The new Clarissa:ξa true history. By Madame de Beaumont. ...,Dublin :,J Exshaw,FALSE,Epistolary,Unique ed,Woman named,Proper name,431007,626
Nobleman_ec7_a100_743m.txt,1743,"Annesley, James","Memoirs of an unfortunate young nobleman...Mr. Wilson, &c.",London :,J. Freeman,FALSE,Epistolary,No,Man named,None,261003,296
Pacquet_pr3291_a1_p123_1701.txt,1701,Anon,"A pacquet from Will's: or, a new collection of original letters on several subjects; containing pleasant memoirs, intrigues and adventures that lately hapned at London, Hampton Court, Tunbridge, Epsom, North Hall and the Bath. With several satyrical characters, both of ladies and gentlemen, in prose and verse; with original letters by King Charles II. and the late Q. of Sweden. Written and collected by several hands.",London,Briscoe,FALSE,Epistolary,No,Unknown,Generic/Descriptive,1813449,139
Palinode_pr3736_t734_p3_1771.txt,1770,Tressyac de Vergy,"The palinode:ξor, the triumphs of virtue over love: a sentimental novel. ... By Mr. Treyssac de Vergy. ...",London,G. Woodfall,FALSE,Epistolary,Unique,Man named,Proper name,341598,471
Peregrinations_pr3291_a1_p37_1763.txt,1763,Anon,"The Peregrinations of Jeremiah Grant, Esq; A west Indian.",London :,G. Burnet,FALSE,Part Epistolary,Title ND,Unknown,Generic/Descriptive,194937,353
Perfidious_ec7_a100_702p3.txt,1702,Anon,"The perfidious P--- being letters from a nobleman to two ladies, under the borrow'd names of Corydon, Clarinda & Lucina. With the ladies answers.",,"s.n.,",FALSE,Epistolary,No,Unknown,Generic/Descriptive,3451191,165
Pittborough_a6_l32_1767.txt,1767,Lady,The history of Miss Pittborough. In a series of letters. By a lady. In two volumes.,London,A. Millar,FALSE,Epistolary,No,Woman anon,Generic/Descriptive,196864,508
Platonic_pr_3461_f67_p69_1732.txt,1720,"Fowke, Mrs. Martha and Bond, William","The Platonic lovers; consisting of original letters, in prose and verse, that pass'd between an English lady, and an English gentleman in France, under the borrow'd names of Clio and Strephon",London,J. Wilford,FALSE,Epistolary,No,Woman named,Character name,1816799,221
Postman_pr3478_g3_p6_1719.txt,1719,"Gildon, Charles","The post-man robb'd of his mail: or the packet broke open. Being a collection of micellaneous letters, serious and comical, amorous and gallant.",London,Bettesworth,FALSE,Epistolary,No,Man named,Generic/Descriptive,289811,377
Prude_pr3291_a6_y5_1724.txt,1724,Young lady,The prude :,London;London,J. Roberts,FALSE,Part Epistolary,No,Woman anon,Initials,1813680-1,294
School_pr3991_a6_l327_1776.txt,1776,Lady,The school for husbands. Written by a lady. In two volumes. Vol. I.,Dublin :,Chamberlaine et al,FALSE,Epistolary,No,Woman anon,Generic/Descriptive,341629,268
Shepherdess_pq3889_l5_b413_1794.txt,1794,W. Beckwith,The shepherdess of Aranville: a romance. Translated from the French of M. Liomin. ...,London,"J. Adlard: and sold by Owen, and Mason; and Parsons",FALSE,Third-person,Unique,Man named,None,430720,189
Sommervile_pr3291_a6_l324_1769b.txt,1769,Lady,The history of Miss Sommervile. Written by a lady. In two volume. Vol. I.,Dublin :,Chamberlaine et al,FALSE,Epistolary,No,Woman anon,Generic/Descriptive,199576-2,321
Tick_pr_3291_a1_l683_1724.txt,1724,Anon,"Love upon tick: or, implicit gallantry. Exemplified, in some merry memoirs of the rise and progress of an extraordinary and occasional amour. In which the whole mechanism of that passion is expos'd, and made obvious to the meanest capacity.",London :,Billingsley and Meadows,FALSE,Epistolary,No,Unknown,Reference to other works,276081,186
Triumph_pr3291_a1_t74_1768.txt,1768,Anon,"The triumph of love and beauty; or, the history of Mr. Wallace and his family",London :,"Robinson, Roberts",FALSE,Third-person,Title ND,Unknown,None,198941,450
Unfortunate_pr3291_a1_u54_1739.txt,1739,Anon,"The unfortunate dutchess: or, the lucky gamester. A novel, founded on a true story.",London :,T. Read,FALSE,Epistolary,No,Unknown,None,380155,87
Union_pr3991_a6_l328_1779.txt,1779,Lady,"The unfortunate union: or, the test of virtue. A story founded on facts, and calculated to promote the cause of virtue in younger minds. Written by a lady.",Dublin :,Chamberlaine et al,FALSE,Epistolary,No,Woman anon,None,341702,326
Unnatural_pr3291_a1_u55_1734.txt,1734,Anon,"The unnatural mother, or, Innocent love persecuted :",London,J. Roberts,FALSE,Part Epistolary,No,Unknown,None,3887499,121
Voyage_pr3291_n325_n4_1713.txt,1713,Anon,A new voyage to the island of fools,London,J. Morphew,FALSE,Epistolary,No,Unknown,Generic/Descriptive,6134731,66
Wilson_ec7_a100_723i.txt,1723,Anon,Love-letters between a certain late nobleman and the famous Mr. Wilson :,London,A. Moore,FALSE,Epistolary,No,Unknown,None,5427451,71
Abstract_pr3991_a1_a27_1797.txt,1797,Anon,Abstract.ξA character from life. In two volumes. ...,London,Lane/Minerva,TRUE,Epistolary,Unique,Unknown,None,59364,508
Extravagant_pr3291_a6_e35_1768.txt,1768,The editor of the Wanderer,The happy extravagant,London,Nobles,TRUE,Part Epistolary,Title ND,Unknown,Reference to other works,199113,510
Frailty_pr3991_a1_f39_1772.txt,1772,Anon,"Female frailty; or, the history of Miss Wroughton. Vol. I.",London,Nobles,TRUE,Epistolary,No,Unknown,None,341432,500
Fugitives_pr3291_a1_f26_1766.txt,1766,Anon,"The faithful fugitives: or, adventures of Miss Teresa M---. In a series of letters to a friend.",London,Vernor and Chater,TRUE,Epistolary,No,Unknown,Generic/Descriptive,198171,261
HarNelson_ec75_a100_781d3.txt,1781,Anon,"Distrest virtue; or, the history of Miss Harriet Nelson. In which is included the unhappy story of Miss Caroline Lenox. In a series of letters. In three volumes. ...",London,Nobles,TRUE,Epistolary,Unique,Unknown,None,341401,766
HermitRock_pr3991_a1_h47_1779.txt,1779,Anon,"The hermit of the rock: or the history of the Marchioness de Lausanne, and the Comte de Luzy. Translated from a French manuscript. In three volumes. ...",Dublin ,Price et al,TRUE,Epistolary,Unique ed,Unknown,Generic/Descriptive,379665,265
Honor_pr3348_c65_w6_1768.txt,1768,Anon,The woman of honor. In three volumes. ...,Dublin,James Williams,TRUE,Epistolary,Title ND,Unknown,None,431188,331
Journey_pr3291_a1_j68_1774.txt,1774,Anon,"The journey to London: or, the history of the Selby-family. ...",London,Nobles,TRUE,Third-person,Unique,Unknown,None,341481,469
Lucinda_pr3291_a7_l8_1773.txt,1773,Anon,"The history of Miss Lucinda Courtney; in a series of original letters; written by herself, to her friend Miss Constantia Bellmour. A new edition. In three volumes. ...",London :,Nobles,TRUE,Epistolary,Unique ed,Unknown,Character name,341458,753
Merchant_pr4149_b9_e6_1795.txt,1795,"Bolas, Thomas","The English merchant: or the fatal effects of speculation in the funds: a novel, by Thomas Bolas. In two volumes ...",London :,Lane/Minerva,TRUE,Epistolary,Unique,Man named,Proper name,430658,586
Monimia_pr3991_a1_m65_1791.txt,1791,Anon,Monimia.ξA novel. In two volumes. ...,London,Lane/Minerva,TRUE,Epistolary,Unique,Unknown,None,429890,482
Montague_pr3291_a1_h6315_1770.txt,1770,Anon,The history of Miss Harriot Montague. In two volumes. ...,London,J. Roson,TRUE,Third-person,Unique,Unknown,None,341450,442
OldMaid_pr5452_s73_o42_1771.txt,1771,Mrs. Skinn,"The old maid; or, history of Miss Ravensworth. In a series of letters. By Mrs. Skinn, late Miss Masterman, of York. In three volumes. Volume the first.",London :,Bell,TRUE,Epistolary,No,Woman named,Proper name,341585,586
Royal_pr3991_a1_r63_1773.txt,1773,Anon,"The royal adventurers; or, the conflict of love. A novel.",London,G. Allen,TRUE,Third-person,Unique,Unknown,None,341628,235
Stellins_pr3991_a1_s74_1793.txt,1793,G.G. (editor),"Stellins; or, the new Werter. In two volumes. ...",London :,Lane/Minerva,TRUE,Epistolary,Unique,Unknown,None,429975,378
Trinket_pr3291_a2_l34_1774.txt,1774,Lady,The trinket. A novel. By a lady.,London,Lowndes,TRUE,Epistolary,No,Woman anon,Generic/Descriptive,341684,282
Wife_pr3291_a1_m595_1769b.txt,1769,Anon,The modern wife. A novel. In two volumes. The second edition. Vol. I.,"London,",Lowndes,TRUE,Epistolary,No,Unknown,None,200026,519
Winworth_pr3991_a1_l63_1787.txt,1787,Anon,"Lord Winworth;ξor, the memoirs of an heir; a novel. In three volumes. ...",London :,G. Allen,TRUE,Epistolary,Unique,Unknown,None,1991190,731
Wreath_pr3991_a1_W74_1790.txt,1790,Anon,"The wreath of friendship; or, a return from India.ξA novel, in a series of letters. In three volumes. ...",London,Lane/Minerva,TRUE,Epistolary,Unique ed,Unknown,None,105751,837
