IMPRINT DATE,FileName,TitleUnique?,id,orig language (base),author name,author dates,author transcribed,title catalog,title full,title half,title series,vols,edition trans,pub date,pub date transcribed,pub location,pub transcribed,printer,bookseller,pub notes,format,illustrations,pub cataloger notes,para:preface,para:dedication,para:advertisement,para:to the reader,para:intro,para:note,para:other,para:footnotes,epigraph source transcribed,narrative form primary,narrative form secondary,subscriber list,inscription,marginalia,author claim,author claim type,author gender claim,author gender,advertisement genres,title words:other works,title words:singular nouns,title words:place names,holding institution
1743,Nobleman_ec7_a100_743m.clean.txt,No,261003,eng,,,,"Memoirs of an unfortunate young nobleman, returned from a thirteen years slavery in America...",,"Memoirs of an unfortunate young nobleman, &c.",,,,1743,1743,London :,Printed for J. Freeman in Fleetstreet; and sold by the booksellers in town and country.,,,,Duodecimo,,"The history of James Annesley, claimant to the title of earl of Anglesey--Cf. Brit. mus. Cat.",,,,,,,,,,Epistolary,Third-person,,,,,,,,Mixed genre,,Memoir,America,University of Pennsylvania
1732,Duncan_ct788_c2_a3.clean.txt,No,266593,eng,"Campbell, Duncan,",1680?-1730.,"Written by himself, who ordered they should be publish'd after his decease. To which is added, An appendix, by way of vindication of Mr. Duncan Campbel, against that groundless aspersion cast upon him, that he but pretended to be deaf and dumb ...","Secret memoirs of the late Mr. Duncan Campbel, the famous deaf and dumb gentleman. Written by himself, who ordered they should be publish'd after his decease. To which is added, An appendix, by way of vindication of Mr. Duncan Campbel, against that groundless aspersion cast upon him, that he but pretended to be deaf and dumb ...","Secret memoirs of the late Mr. Duncan Campbel, the famous deaf and dumb gentleman. Written by himself, who ordered they should be publish'd after his decease. To which is added, an appendix, by way of vindication of Mr. Duncan Campbel, against that groundless aspersion cast upon him, that he but pretended to be deaf and dumb.",,,,,1732,1732,London,"Printed for J. Millan, at the Green Door, the Corner of Buckinham-Court; and J. Chrichley, at the London-Gazette, Charing-Cross.",,,Work title page.,Octavo,Port.,"""Appendix"", p.[225]-239, has special t.p. | University of Pennsylvania bookplate on front free end paper | Library marginalia on back free end paper | Frontispiece of the author's portrait titled ""The Effigies of Mr. Duncan Campbell the dumb gentleman""",,,,,"Transcription: ""As no person who has made any noise in the world, either for good or bad qualifications, can die without exciting a curiosity in the publick to know something more after his death, than could possibly be learned while he lived, I doubt not, but as soon as I shall cease to be, several pens will be employed in relating what I have been;""",,TRUE,, | Dryden,First-person,Letters,TRUE,TRUE,TRUE,Author (text),Proper name,Male,,,,Memoir,,PU
1724,Tick_pr_3291_a1_l683_1724.clean.txt,No,276081,eng,,,by the author of -----.,"Love upon tick, or, Implicit gallantry : exemplified, in some merry memoirs of the rise and progress of an extraordinary and occasional amour : In which the whole mechanism of that passion is expos'd, and made obvious to the meanest capacity / by the author of -----.","Love upon tick: or, implicit gallantry. Exemplified, in some merry memoirs of the rise and progress of an extraordinary and occasional amour. In which the whole mechanism of that passion is expos'd, and made obvious to the meanest capacity.",,,,,1724,1724,London :,"Printed and sold by J. Billingsley, and W. Meadows, in Cornhill : T. Worral, against St. Dunstan's Church in Fleet-Street : And J. Stagg, in Westminster Hall,",,,,Octavo,,"Title within double line border. | Attributed to Mary Manley. Cf. Cambridge bibliography of English literature, v.2, col.990.",TRUE,TRUE,,,,,,,,Epistolary,Third-person,,,,Author (text),Reference to other works,Indeterminate,,,,love,,University of Pennsylvania
1778,Example_ec75_a100_778e.clean.txt,No,276135,eng,Young lady.,,by a young lady.,"The example, or The history of Lucy Cleveland / by a young lady.",,The history of Lucy Cleveland.,,,,1778,1778,London :,"Printed for Fielding and Walker, no. 20, Pater-noster Row",,,,Duodecimo,,,TRUE,,,,,,,,,Epistolary,,,,,Author (text),,,,Fiction,,history | example | example,,University of Pennsylvania
1719,Postman_pr3478_g3_p6_1719.clean.txt,No,289811,eng,"Gildon, Charles,",1665-1724.,By the best wits of the present age.,"The post-man robb'd of his mail: or, The packet broke open. Being a collection of miscellaneous letters, serious and comical, amorous and gallant. Amongst which are, The lover's sighs: or, The amours of the beautiful Stremunia and Alphonso the Wise, king of Castile, and Aragon, and earl of Provence; with with her passionate letters to the king on his chusing another mistress. In five books. By the best wits of the present age.",,,,,,1719,MDCCXIX,London,"Printed for A. Bettesworth, at the Red Lion, in Pater-noster-row; and C. Rivington, at the Bible and Crown in St. Paul's Church-Yard.",,,,Duodecimo,,"Signed: Roger de Whimsey, kt and bar. [pseud.] | Price taken from imprint title page: ""Price 3s."" | Library-related marginalia--verso back free endpaper and recto first leaf Dedication.","""Gentle reader, For so I hope to to find thee...I come now to my qualifications as a writer...""","""Sir, I with some satisfaction lay hold of this opportunity, of paying my public acknowledgment to you, for a long series of favours and valuable services...Having therefore no room for the panegyrics of the times, I shall no longer detain either you or the reader...""",,,,,TRUE,"Explanatory footnotes appear throughout work, especially p.308-339.",,,,,TRUE,TRUE,Author (text),Generic/descriptive,Indeterminate,Male,,,Post-man,Castile,PU
1720,Aurea_pr3291_a1_m5.clean.txt,No,300954,eng,,,"by Mr. Milton, the Lady W----, Mr. Phillips, Mr. Killegrew, author of the Chit chat, and several others.","Miscellanea aurea: or, The golden medley.  Consisting of I. A voyage to the mountains of the moon ... II. The fortunate shipwreck, or, A description of New Athens ... VII. An account of bad and good women, ancient and modern. Among which is the story of the Spartan dame, the subject of Mr. Southern's play.  With several other epistolary essays in prose and verse: by Mr. Milton, the Lady W----, Mr. Phillips, Mr. Killegrew, author of the Chit chat, and several others.","Miscellanea aurea: or, The golden medley. Consisting of I. A voyage to the mountains of the moon under the Aequator, or Parnassus reform'd. II. The fortunate shipwreck, or, a description of New Athens, being an account of the laws, manners, religion, and customs of that country; by Morris Williams, Gent. who resided there above twenty years. III. Alberoni ,or a vindication of that Cardinal. IV. The secret history of the amours of Don Alonzo, Duke of Lerma, Grandee of Spain. V. The Garden of Adonis, or love to no purpose; being above twenty copies of verses and love-letters, by a lady. VI. Mahomet no impostor, written in Arabick by Abdulla Mahumed Omar. VII. An account of bad and good women, ancient and modern. Among which is the story of the Spartan dame, the subject of Mr. Southern's play.  With several other epistolary essays in prose and verse: by Mr. Milton, the Lady W--- Mr. Philips, Mr. Killegrew, Author of the Chit Chat, and several others.",,,,,1720,1720,London,"Printed for A. Bettesworth in Pater-Noster-Row, and J. Pemberton in Fleet-Street",,,,Octavo,,Title within double line border; head- and tailpieces; initials. | University of Pennsylvania bookplate on front paste-down end paper | Running title only for paratext | Chapter and section epigraphs | Library marginalia on back free and paste-down end paper,"Transcription: ""I shall not long detain the reader with what I have to say to him by way of preface; for I will not spend much time nor use many arguments to recommend the following entertainment;""","Transcription: ""May it please your grace, I have long wish'd for an opportunity of laying something of mine at your grace's feet, not wholly unworthy of your patronage;""",,,,,TRUE,,,Epistolary,,,,TRUE,Author (text),Proper name,Male,,Mixed Genre,Chit Chat,Miscellanea,Moon,PU
1726,MaryQ_da787_a365_a5_1726.clean.txt,No,316107,fre,"Mary,",1542-1587.,"translated from the French originals, by Edward Simmonds ... : never before made publick ; to which is added, remarks on each letter, with an abstract of her life, in a letter to the bookseller, from an unknown hand.","The genuine letters of Mary Queen of Scots, to James Earl of Bothwell : found in his secretary's closet after his decease, and now in the possession of a gentleman of Oxford : discovering the greatest and most secret transactions of her time / translated from the French originals, by Edward Simmonds ... : never before made publick ; to which is added, remarks on each letter, with an abstract of her life, in a letter to the bookseller, from an unknown hand.","The genuine letters of Mary Queen of Scots, to James Earl of Bothwell: found in his secretary's closet after his decease; and now in the possession of a gentleman of Oxford. Discovering the greatest and most secret transactions of her time. Translated from the French originals by Edward Simmonds, late of Christ's -Church College, Oxford. Never before made publick. To which is added remarks on each letter, with an abstract of her life. In a letter to the bookseller, from an unknown hand. The second edition. ",,,,The second edition.,1726,1726,Westminster,"Printed by A. Campbell, in Union-Street, near New Palace-Yard; for J. Millan in Shug-Lane, near the upper End of the Hay-Market. Sold by J. Roberts in Warwick-Lane; and the booksellers of London and Westminster,",,,,Octavo,,"The letter to the bookseller signed: B.S. | Advertisements on fourth leaf. | Bookplate facing title page: ""Library University of Pennsylvania"". | Bookplate facing title page: ""Ex Libris Coleman O. Parsons"". Design includes a crest with a lion, a candle, an hourglass, and stacks of books. | Library marginalia on verso front cover and recto back cover. | ""[Price one shilling.]"" printed on title page.","Transcription: ""The history of Mary Queen of Scots has made so great a noise in the world, that I thought it would not be unwelcome, to communicate some original letters written with her own hand;""",,,,,,TRUE,,,Epistolary,First-person,,,TRUE,Author (text),Proper name,Female,Female,Mixed Genre,,Letter,Oxford,PU
1771,Convent_pr3291_a7_a53_1771.clean.txt,No,341336,eng,,,by the author of Memoirs of Mrs. Williams : in three volumes.,Anecdotes of a convent / by the author of Memoirs of Mrs. Williams : in three volumes.,Anecdotes of a convent. By the author of Memoirs of Mrs. Williams. In three volumes. Vol. I.,,,,,1771,M.DCC.LXXI.,London,"London, printed for T. Becket and P. A. de Hondt, in the Strand.",,,,Octavo,,,Authentic authorial,,,,,,,Explanatory footnotes,,Epistolary,,,,,Author (text),Reference to other works,Indeterminate,Female,,,Anecdote,,University of Pennsylvania
1773,Cautious_pr3991_a6_y67_1773.clean.txt,Unique copy of title,341350,eng,Young Gentleman of Oxford.,,by a young gentleman of Oxford : in two volumes.,"The cautious lover, or The history of Lord Woburn / by a young gentleman of Oxford : in two volumes.","The cautious lover: or, the history of Lord Woburn. By a young gentleman of Oxford. In two volumes. Vol. I.",,,,,1773,MDCCLXXIII.,Dublin,"Dublin: Printed for James Williams, at no. 5. in Skinner-Row.",,,,Duodecimo,,"Vol. I and vol. II bound together | First published in London, 1772.",,,,,,,,,,Epistolary,,,,TRUE,Author (text),Generic/Descriptive,Male,Unknown,,,Lover,Oxford,University of Pennsylvania
1779,Charles_pr3991_a1_c42_1779.clean.txt,Unique copy of title,341355,eng,,,,"Charles, or, The history of a young baronet and a lady of quality : a novel, in two volumes.",,Charles.  A novel.  Vol. I.,,,,1779,MDCCLXXIX.,London,"Printed for J. Bew, in Pater-Noster-Row.",,,,Duodecimo,,"Vol. 1: [4], 214, [2] p.; v. 2: [4], 230, [2] p. | Advertisements on p. [2] at end of each volume.",,,,,,,,,,Epistolary,,,,,,,,,Poetry | Nonfiction,,History,,University of Pennsylvania
1775,Distress_pr3505_g42_d44_1775.clean.txt,Unique edition of title,341388,eng,"Griffith,",1720?-1793.,,"The delicate distress : a novel, in letters : in two volumes.",The delicate distress: a novel. In letters. In two volumes. By Frances. Vol. I.,,,,,1775,MDCCLXXV.,Dublin,"Dublin: Printed for T. Walker, in Dame-Street.",,,,Duodecimo,,"""""Frances"""" is Elizabeth Griffith.  Cf. Halkett & Laing (2nd ed.)"" | A printing error has placed the Dedication (numbered pp. iii-iv) after both the Preface (numbered pp. v-vi) and the first page of the text (numbered pp. 7-8).","Discusses this work's location within the genre/form of """"novel"""" and associated audiences","Reads: To his grace the Duke of Bedford. Sir, If a private suffrage could add fame to a public character, I should be the foremost to express my opinion of your Grace's merits; """"for they who speak thy praise secure their own."""" But as a compliment is always intended, in an address of this nature, I shall assume the sole honour of it to myself, by declaring to the world, that I am one of the many, who have reason to subscribe myself, With respect and gratitude, your Grace's, very much obliged, and most obedient servant, Frances.""",,,,,,, | Recueil Anonyme [Anonymous].,Epistolary,,,TRUE,,Author (text),,Female,Female,,,Distress,,University of Pennsylvania
1781,Denouement_pr3991_a6_l316_1781.clean.txt,No,341393,eng,Lady.,,by a Lady.,"The deíÅnouement, or, History of Lady Louisa Wingrove / by a Lady.","The deíÅnouement: or, history of Lady Louisa Wingrove. By a lady.",,,,,1781,M DCC LXXXI.,Dublin :,"Printed by John Exshaw, no. 86, Dame-street.",,,,Duodecimo,,An epistolary novel.,"Begins, """"By a lady!--what again!--another pen in petticoats?""""",,,,,,,,,Epistolary,,,TRUE,,Author (text),Generic/Descriptive,Female,Unknown,,,DeíÅnouement,,University of Pennsylvania
1781,HarNelson_ec75_a100_781d3.clean.txt,Unique copy of title,341401,eng,,,,"Distrest virtue, or The history of Miss Harriet Nelson : in which is included the unhappy story of Miss Caroline Lenox : in a series of letters : in three volumes.",,,,,,1781,MDCCLXXXI.,London,"Printed for F. Noble, at his circulating library, opposite Gray's Inn Gate, Holborn.",,,,Duodecimo,,,,,"Transcription: """"Indispensible business preventing the editor from correcting the sheets as they came from the press, many errors in the expression, pointing, &c. which never had a place in the manuscript, have, unfortunately, crept into the print. Should the rigour of criticism be softened by this declaration, the end, for which it was made, will be fully obtained.""","Discusses how this particular work uses the form of the novel to achieve the function of promoting virtue (e.g. """"The following work, though a novel, may have its use; its chief end being to promote the cause of virtue; to warn the young and innocent; and above all, to inculcate an implicit trust in that power, whose chiefest care is suffering innocence."""")",,,TRUE,,,Epistolary,,,,,,,,,,,Virtue,,University of Pennsylvania
1770,Musgrove_pr3291_a1_h576_1770.clean.txt,Unique edition of title,341406,eng,,,,The History of Eliza Musgrove : in two volumes.,The history of Eliza Musgrove. In two volumes. Vol. I.,,,,,1770,MDCCLXX.,Dublin :,"Printed for H. Saunders, W. Sleater, D. Chamberlaine, J. Potts and J. Williams",,,,Duodecimo,,"Title page for v. 2: p. [121] | First published in London, 1769. | No mention of author.",,,,,,,,,,Epistolary,,,TRUE,TRUE,,,,,,,History,,University of Pennsylvania
1772,Frailty_pr3991_a1_f39_1772.clean.txt,No,341432,eng,,,,"Female frailty; or, The history of Miss Wroughton ...","Female frailty; or, the history of Miss Wroughton. Vol. I.",,,,,1772,M DCC LXXII.,London,"Printed for F. and J. Noble, at their respective circulating libraries, near Middle Row, Holborn, and Saint Martin's Court, near Leicester Square.",,,,Duodecimo,,Publishers' advertisements: p. [1] at end of v. 1; p. [10] at end of v. 2.,,,,,,,,,,Epistolary,,,,,,,,,Fiction | Fiction,,Frailty,,University of Pennsylvania
1770,Montague_pr3291_a1_h6315_1770.clean.txt,Unique copy of title,341450,eng,,,,The History of Miss Harriot Montague : in two volumes.,,The history of Miss Harriot Montague.,,,,1770,M DCC LX.,London,"London: printed for J. Roson, No. 54, St. Martin's-Le Grand, near Newgate-Street.",,,,Duodecimo,,"Date of publication taken from t. p. of v. 2. | Vol. 1: [4], 208 p.; v. 2: [4], 204, [4] p. | Vol. 1 has date of publication as 1760, but this appears to be a typo - Van Pelt library puts the true publication date as 1770, and this is the publication date in Vol. 2, which is bound identically and appears to have been published simultaneously.",,,,,,,,,,Third-person,,,,,,,,,Mixed Genre,,History,,University of Pennsylvania
1773,Lucinda_pr3291_a7_l8_1773.clean.txt,Unique edition of title,341458,eng,Author of Lucinda Courtney.,,,"The history of Miss Lucinda Courtney : in a series of original letters written by herself to her friend, Miss Constantia Bellmour : in three volumes.","The history of Miss Lucinda Courtney; in a series of letters; written by herself, to her friend Miss Constantia Bellmour. A new edition. In three volumes. Vol. I.",,,,A new edition.,1773,MDCCLXXIII.,London :,"Printed for F. and J. Noble, at their respective circulating libraries, near Middle Row, Holborn, and Saint Martin's Court, near Leicester Square.",,,,Duodecimo,,"Advertisements: v. 3, [7] p. at end.",,,,,"The primary purpose of the introductory letter to Lady L-- is """"to give...a short sketch of"""" the following letters' """"amiable writer"""" (p.3).  Introduction mentions Miss Courtney """"reading more than is usual"""" (p.8).""",,,,,Epistolary,,,,TRUE,,Proper name,Female,Unknown,Mixed Genre,,History,,University of Pennsylvania
1782,Interesting_pr3991_a6_l319_1782 .clean.txt,Title not previously digitized,341473,eng,Lady.,,by a Lady.,An interesting sketch of genteel life / by a Lady.,,An interesting sketch of genteel life. In three volumes.,,,,1782,M DCC LXXXII.,Southampton,"Printed by Linden & Cunningham. Sold by Skelton & Mills, Southampton, and B. Law, Avemary Lane, London.",,,,Octavo,,An epistolary novel.,,,,,,,,,,Epistolary,,,,,Author (text),Generic/Descriptive,Female,,,,Sketch,,University of Pennsylvania
1774,Journey_pr3291_a1_j68_1774.clean.txt,Unique copy of title,341481,eng,,,,"The Journey to London, or, The history of the Selby-family.","The journey to London: or, the history of the Selby-family. Vol. I.",,,,,1774,MDCCLXXIV.,London,"Printed for F. and J. Noble, at their respective circulating libraries, near Middle Row, Holborn, and Saint Martin's Court, near Leicester Square.",,,,Duodecimo,,"Vol. 1: [4], 236 p.; v. 2: [2], 210, [4] p. | Volumes bound together, with publishers' advertisement as back matter insert.",,,"Signed F. Noble, J. Noble.",,,,,,,Third-person,,,,,,,,,Fiction,,Journey,London,University of Pennsylvania
1784,Laura_pr3991_a6_y68_1784.clean.txt,Unique edition of title,341490,eng,Young lady.,,by a Young Lady : in three volumes.,"Laura and Augustus : an authentic story, in a series of letters / by a Young Lady : in three volumes.","Laura and Augustus, an authentic story; in a series of letters, by a young lady. In three volumes. Vol. I.",,,,,1784,"M,DCC,LXXXIV.",Dublin :,"Printed for R. Moncrieffe, G. Burnet, T. Walker, R. Marchbank, R. Burton, P. Byrne, S. Colbert, B. Smith, N. Cross, & J. Cash.",,,,Duodecimo,,"An epistolary novel. | Sometimes attributed to Eliza Nugent Bromley.  Cf. NCBEL, II, col. 1007; NUC pre-56, 77, p. 503. | Issued in 1 volume.",,"Begins, """"The author of the following sheets, unhackneyed in the arts of dedication...""",,,,,,, | Phillips.,Epistolary,,,,,Author (text),Generic/Descriptive,Female,Unknown,,,Story,,University of Pennsylvania
